//ShopTab,ITEMType,Slot
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_AA_A,13
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_BA_A,7
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_CA_A,1
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_FA_A,16
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_LA_A,10
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_04_SA_A,4
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_AA_A,14
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_BA_A,8
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_CA_A,2
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_FA_A,17
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_LA_A,11
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_05_SA_A,5
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_AA_A,12
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_BA_A,6
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_CA_A,0
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_FA_A,15
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_LA_A,9
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_03_SA_A,3
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_AA_A,13
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_BA_A,7
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_CA_A,1
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_FA_A,16
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_LA_A,10
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_04_SA_A,4
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_AA_A,14
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_BA_A,8
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_CA_A,2
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_FA_A,17
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_LA_A,11
STORE_CA_ARMOR_TAB6,ITEM_EU_W_CLOTHES_05_SA_A,5
STORE_CA_GUILD_TAB1,ITEM_ETC_GUILD_CREST_DELETE,1
STORE_CA_GUILD_TAB1,ITEM_ETC_GUILD_CREST_USER,0
STORE_CA_GUILD_TAB1,ITEM_ETC_UNION_CREST_DELETE,3
STORE_CA_GUILD_TAB1,ITEM_ETC_UNION_CREST_USER,2
STORE_CA_GUILD_TAB3,ITEM_ETC_GUILD_RECALL,0
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_08_A_RARE_HONOR,0
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_08_B_RARE_HONOR,1
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_08_C_RARE_HONOR,2
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_09_A_RARE_HONOR,3
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_09_B_RARE_HONOR,4
STORE_CA_HONOR_TAB1,ITEM_CH_BLADE_09_C_RARE_HONOR,5
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_08_A_RARE_HONOR,6
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_08_B_RARE_HONOR,7
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_08_C_RARE_HONOR,8
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_09_A_RARE_HONOR,9
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_09_B_RARE_HONOR,10
STORE_CA_HONOR_TAB1,ITEM_CH_BOW_09_C_RARE_HONOR,11
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_08_A_RARE_HONOR,12
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_08_B_RARE_HONOR,13
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_08_C_RARE_HONOR,14
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_09_A_RARE_HONOR,15
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_09_B_RARE_HONOR,16
STORE_CA_HONOR_TAB1,ITEM_CH_SPEAR_09_C_RARE_HONOR,17
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_08_A_RARE_HONOR,18
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_08_B_RARE_HONOR,19
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_08_C_RARE_HONOR,20
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_09_A_RARE_HONOR,21
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_09_B_RARE_HONOR,22
STORE_CA_HONOR_TAB1,ITEM_CH_SWORD_09_C_RARE_HONOR,23
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_08_A_RARE_HONOR,24
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_08_B_RARE_HONOR,25
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_08_C_RARE_HONOR,26
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_09_A_RARE_HONOR,27
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_09_B_RARE_HONOR,28
STORE_CA_HONOR_TAB1,ITEM_CH_TBLADE_09_C_RARE_HONOR,29
STORE_CA_HUNTER_TAB1,ITEM_EU_M_TRADE_HUNTER_01,1
STORE_CA_HUNTER_TAB1,ITEM_EU_M_TRADE_HUNTER_02,0
STORE_CA_HUNTER_TAB2,ITEM_EU_F_TRADE_HUNTER_01,1
STORE_CA_HUNTER_TAB2,ITEM_EU_F_TRADE_HUNTER_02,0
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_ALL_01,8
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_ALL_02,9
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_ALL_03,10
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_ALL_04,11
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_ALL_05,12
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_RANDOM_01,13
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_RANDOM_02,14
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_RANDOM_03,15
STORE_CA_POTION_TAB1,ITEM_ETC_CURE_RANDOM_04,16
STORE_CA_POTION_TAB1,ITEM_ETC_DETECT_01,17
STORE_CA_POTION_TAB1,ITEM_ETC_DETECT_02,18
STORE_CA_POTION_TAB1,ITEM_ETC_DETECT_03,19
STORE_CA_POTION_TAB1,ITEM_ETC_DETECT_04,20
STORE_CA_POTION_TAB1,ITEM_ETC_HP_POTION_02,0
STORE_CA_POTION_TAB1,ITEM_ETC_HP_POTION_03,1
STORE_CA_POTION_TAB1,ITEM_ETC_HP_POTION_04,2
STORE_CA_POTION_TAB1,ITEM_ETC_HP_POTION_05,3
STORE_CA_POTION_TAB1,ITEM_ETC_MP_POTION_02,4
STORE_CA_POTION_TAB1,ITEM_ETC_MP_POTION_03,5
STORE_CA_POTION_TAB1,ITEM_ETC_MP_POTION_04,6
STORE_CA_POTION_TAB1,ITEM_ETC_MP_POTION_05,7
STORE_CA_POTION_TAB1,ITEM_ETC_SECOND_HWAN_SCROLL_01,21
STORE_CA_POTION_TAB1,ITEM_ETC_SECOND_HWAN_SCROLL_02,22
STORE_CA_POTION_TAB1,ITEM_ETC_SECOND_HWAN_SCROLL_03,23
STORE_CA_POTION_TAB1,ITEM_ETC_SECOND_HWAN_SCROLL_04,24
STORE_CA_SMITH_TAB1,ITEM_EU_AXE_03_A,9
STORE_CA_SMITH_TAB1,ITEM_EU_AXE_04_A,10
STORE_CA_SMITH_TAB1,ITEM_EU_AXE_05_A,11
STORE_CA_SMITH_TAB1,ITEM_EU_CROSSBOW_03_A,12
STORE_CA_SMITH_TAB1,ITEM_EU_CROSSBOW_04_A,13
STORE_CA_SMITH_TAB1,ITEM_EU_CROSSBOW_05_A,14
STORE_CA_SMITH_TAB1,ITEM_EU_DAGGER_03_A,0
STORE_CA_SMITH_TAB1,ITEM_EU_DAGGER_04_A,1
STORE_CA_SMITH_TAB1,ITEM_EU_DAGGER_05_A,2
STORE_CA_SMITH_TAB1,ITEM_EU_DARKSTAFF_03_A,15
STORE_CA_SMITH_TAB1,ITEM_EU_DARKSTAFF_04_A,16
STORE_CA_SMITH_TAB1,ITEM_EU_DARKSTAFF_05_A,17
STORE_CA_SMITH_TAB1,ITEM_EU_HARP_03_A,21
STORE_CA_SMITH_TAB1,ITEM_EU_HARP_04_A,22
STORE_CA_SMITH_TAB1,ITEM_EU_HARP_05_A,23
STORE_CA_SMITH_TAB1,ITEM_EU_STAFF_03_A,24
STORE_CA_SMITH_TAB1,ITEM_EU_STAFF_04_A,25
STORE_CA_SMITH_TAB1,ITEM_EU_STAFF_05_A,26
STORE_CA_SMITH_TAB1,ITEM_EU_SWORD_03_A,3
STORE_CA_SMITH_TAB1,ITEM_EU_SWORD_04_A,4
STORE_CA_SMITH_TAB1,ITEM_EU_SWORD_05_A,5
STORE_CA_SMITH_TAB1,ITEM_EU_TSTAFF_03_A,18
