//ID,Type,Name,CastTime,Cooldown,MP
61000000,SKILL_CH_COLD_GIGONGJANG_B_01,Cold wave - Binding,1000,4000,300
62000000,SKILL_CH_COLD_GIGONGJANG_C_01,Cold wave - Shackle,1000,4000,675
63000000,SKILL_CH_COLD_BINGBYEOK_A_01,Crystal Wall,1000,10000,165
64000000,SKILL_CH_COLD_BINGBYEOK_B_01,Snow Wall,1000,10000,449
65000000,SKILL_CH_COLD_BINGBYEOK_C_01,Extreme Wall,1000,10000,970
66000000,SKILL_CH_COLD_BINGPAN_A_01,Frost Nova - Wind,0,6000,232
67000000,SKILL_CH_COLD_BINGPAN_B_01,Frost Nova - Woods,0,6000,718
68000000,SKILL_CH_COLD_GIGONGSUL_A_01,Snow Storm - Ice shot,1000,4000,348
69000000,SKILL_CH_COLD_GIGONGSUL_B_01,Snow Storm - Ice rain,1000,10000,1206
6A000000,SKILL_CH_COLD_PASSIVE_A_01,Cold Armor,0,0,0
6B000000,SKILL_CH_LIGHTNING_GIGONGTA_A_01,Thunder Tiger Force,0,6000,52
6C000000,SKILL_CH_LIGHTNING_GIGONGTA_B_01,Thunder Sky Force,0,7000,206
6D000000,SKILL_CH_LIGHTNING_GIGONGTA_C_01,Thunder King Force,0,9000,497
6E000000,SKILL_CH_LIGHTNING_GWANTONG_A_01,Must - Piercing Force,1000,3000,72
6F000000,SKILL_CH_LIGHTNING_GWANTONG_B_01,Flow - Piercing Force,1000,3000,249
70000000,SKILL_CH_LIGHTNING_GWANTONG_C_01,Speed - Piercing Force,1000,3000,581
71000000,SKILL_CH_LIGHTNING_GYEONGGONG_A_01,Grass Walk - Flow,0,2000,98
72000000,SKILL_CH_LIGHTNING_GYEONGGONG_B_01,Ghost Walk - phantom,0,5000,225
73000000,SKILL_CH_LIGHTNING_GYEONGGONG_C_01,Grass Walk - Speed,0,2000,675
74000000,SKILL_CH_LIGHTNING_CHUNDUNG_A_01,Shock Lion Shout,1000,4000,117
75000000,SKILL_CH_LIGHTNING_CHUNDUNG_B_01,Heaven Lion Shout,1000,4000,318
76000000,SKILL_CH_LIGHTNING_CHUNDUNG_C_01,Earth Lion Shout,1000,3000,687
77000000,SKILL_CH_LIGHTNING_JIPJUNG_A_01,Concentration - 1st,1000,4000,116
78000000,SKILL_CH_LIGHTNING_JIPJUNG_B_01,Concentration - 2nd,1000,4000,287
79000000,SKILL_CH_LIGHTNING_STORM_A_01,Wolf's Thunderbolt,1000,6000,407
7A000000,SKILL_CH_LIGHTNING_STORM_B_01,Tiger's Thunderbolt,1000,6000,1083
7B000000,SKILL_CH_LIGHTNING_PASSIVE_A_01,Heaven's Force,0,0,0
7C000000,SKILL_CH_FIRE_GIGONGTA_A_01,River Fire force,0,6000,52
7D000000,SKILL_CH_FIRE_GIGONGTA_B_01,Extreme Fire force,0,7000,206
7E000000,SKILL_CH_FIRE_GIGONGTA_C_01,Poison Fire force,0,9000,497
7F000000,SKILL_CH_FIRE_SHIELD_A_01,Fire Shield - Phoenix,2000,5000,72
80000000,SKILL_CH_FIRE_SHIELD_B_01,Fire Shield - Flower,2000,5000,249
81000000,SKILL_CH_FIRE_SHIELD_C_01,Fire Shield - King,2000,5000,581
82000000,SKILL_CH_FIRE_GONGUP_A_01,Flame body - Wisdom,1000,5000,98
83000000,SKILL_CH_FIRE_GONGUP_B_01,Flame body - Power,1000,5000,300
84000000,SKILL_CH_FIRE_GONGUP_C_01,Flame body - Extreme,1000,5000,675
85000000,SKILL_CH_FIRE_GANGGI_A_01,Basic Fire protection,1000,5000,137
86000000,SKILL_CH_FIRE_GANGGI_B_01,Divine Fire protection,1000,5000,374
87000000,SKILL_CH_FIRE_GANGGI_C_01,Hard Fire protection,1000,5000,808
88000000,SKILL_CH_FIRE_HWABYEOK_A_01,Fire Wall - Tower,1000,5000,232
89000000,SKILL_CH_FIRE_HWABYEOK_B_01,Fire Wall - Mountain,1000,5000,574
8A000000,SKILL_CH_FIRE_GIGONGSUL_A_01,Flame Wave - Arrow ,1000,4000,348
8B000000,SKILL_CH_FIRE_GIGONGSUL_B_01,Flame Wave - Burning,1000,6000,820
8C000000,SKILL_CH_FIRE_GIGONGSUL_C_01,Flame Wave - Wide,1000,10000,1501
8D000000,SKILL_CH_FIRE_GIGONGSUL_D_01,Flame Wave - Bomb,1000,4000,1754
8E000000,SKILL_CH_FIRE_PASSIVE_A_01,Flame Devil Force,0,0,0
8F000000,SKILL_CH_WATER_SELFHEAL_A_01,Self Breathe Heal,1000,2100,16
90000000,SKILL_CH_WATER_SELFHEAL_B_01,Self Force Heal,1000,2100,64
91000000,SKILL_CH_WATER_SELFHEAL_C_01,Self Wounds Heal,1000,2100,155
92000000,SKILL_CH_WATER_CURE_A_01,Force Cure - Poison,1000,2100,29
93000000,SKILL_CH_WATER_CURE_B_01,Force Cure - Body,1000,2100,100
94000000,SKILL_CH_WATER_CURE_C_01,Force Cure - Condiion,1000,2100,232
95000000,SKILL_CH_WATER_HEAL_A_01,Heal - Medical Hand,1000,3000,74
96000000,SKILL_CH_WATER_HEAL_B_01,Heal - Ghost Hand,1000,3000,225
97000000,SKILL_CH_WATER_HEAL_C_01,Heal - Taoist Hand,1000,3000,506
98000000,SKILL_CH_WATER_RESURRECTION_A_01,Soul Rebirth Art,1000,4000,137
99000000,SKILL_CH_WATER_RESURRECTION_B_01,Ghost Rebirth Art,1000,4000,374
9A000000,SKILL_CH_WATER_RESURRECTION_C_01,Spirit Rebirth Art,1000,4500,808
9B000000,SKILL_CH_WATER_HARMONY_A_01,Harmony Therapy,1000,300000,193
9C000000,SKILL_CH_WATER_HARMONY_B_01,Adaptation Therapy,1000,300000,479
9D000000,SKILL_CH_WATER_CANCEL_A_01,Vital Spot - Muscle,1000,2000,110
9E000000,SKILL_CH_WATER_CANCEL_B_01,Vital Spot - Spirit,1000,2000,251
9F000000,SKILL_CH_WATER_PASSIVE_A_01,Force Increasing,0,0,0
23010000,SKILL_CH_SWORD_SMASH_A_02,Strike Smash,1022,3000,23
24010000,SKILL_CH_SWORD_SMASH_A_03,Strike Smash,1022,3000,27
25010000,SKILL_CH_SWORD_SMASH_A_04,Strike Smash,1022,3000,31
26010000,SKILL_CH_SWORD_SMASH_A_05,Strike Smash,1022,3000,36
27010000,SKILL_CH_SWORD_SMASH_A_06,Strike Smash,1022,3000,42
28010000,SKILL_CH_SWORD_SMASH_A_07,Strike Smash,1022,3000,47
29010000,SKILL_CH_SWORD_SMASH_A_08,Strike Smash,1022,3000,53
2A010000,SKILL_CH_SWORD_SMASH_A_09,Strike Smash,1022,3000,60
2B010000,SKILL_CH_SWORD_SMASH_B_02,Stab Smash,1100,3000,100
2C010000,SKILL_CH_SWORD_SMASH_B_03,Stab Smash,1100,3000,110
2D010000,SKILL_CH_SWORD_SMASH_B_04,Stab Smash,1100,3000,121
2E010000,SKILL_CH_SWORD_SMASH_B_05,Stab Smash,1100,3000,132
2F010000,SKILL_CH_SWORD_SMASH_B_06,Stab Smash,1100,3000,144
30010000,SKILL_CH_SWORD_SMASH_B_07,Stab Smash,1100,3000,156
31010000,SKILL_CH_SWORD_SMASH_B_08,Stab Smash,1100,3000,170
32010000,SKILL_CH_SWORD_SMASH_B_09,Stab Smash,1100,3000,184
33010000,SKILL_CH_SWORD_SMASH_C_02,Crosswise Smash ,500,3000,312
34010000,SKILL_CH_SWORD_SMASH_C_03,Crosswise Smash ,500,3000,336
35010000,SKILL_CH_SWORD_SMASH_C_04,Crosswise Smash ,500,3000,361
36010000,SKILL_CH_SWORD_SMASH_C_05,Crosswise Smash ,500,3000,388
37010000,SKILL_CH_SWORD_SMASH_C_06,Crosswise Smash ,500,3000,416
38010000,SKILL_CH_SWORD_SMASH_C_07,Crosswise Smash ,500,3000,446
39010000,SKILL_CH_SWORD_SMASH_C_08,Crosswise Smash ,500,3000,478
3A010000,SKILL_CH_SWORD_SMASH_C_09,Crosswise Smash ,500,3000,511
3B010000,SKILL_CH_SWORD_CHAIN_A_1S_02,Illusion Chain,428,8000,38
3C010000,SKILL_CH_SWORD_CHAIN_A_1S_03,Illusion Chain,428,8000,45
3D010000,SKILL_CH_SWORD_CHAIN_A_1S_04,Illusion Chain,428,8000,52
3E010000,SKILL_CH_SWORD_CHAIN_A_1S_05,Illusion Chain,428,8000,59
3F010000,SKILL_CH_SWORD_CHAIN_A_1S_06,Illusion Chain,428,8000,67
40010000,SKILL_CH_SWORD_CHAIN_A_1S_07,Illusion Chain,428,8000,75
41010000,SKILL_CH_SWORD_CHAIN_A_1S_08,Illusion Chain,428,8000,85
42010000,SKILL_CH_SWORD_CHAIN_A_1S_09,Illusion Chain,428,8000,94
43010000,SKILL_CH_SWORD_CHAIN_A_2S_02,Illusion Chain,612,0,0
44010000,SKILL_CH_SWORD_CHAIN_A_2S_03,Illusion Chain,612,0,0
45010000,SKILL_CH_SWORD_CHAIN_A_2S_04,Illusion Chain,612,0,0
46010000,SKILL_CH_SWORD_CHAIN_A_2S_05,Illusion Chain,612,0,0
47010000,SKILL_CH_SWORD_CHAIN_A_2S_06,Illusion Chain,612,0,0
48010000,SKILL_CH_SWORD_CHAIN_A_2S_07,Illusion Chain,612,0,0
49010000,SKILL_CH_SWORD_CHAIN_A_2S_08,Illusion Chain,612,0,0
4A010000,SKILL_CH_SWORD_CHAIN_A_2S_09,Illusion Chain,612,0,0
4B010000,SKILL_CH_SWORD_CHAIN_A_3S_02,Illusion Chain,993,0,0
4C010000,SKILL_CH_SWORD_CHAIN_A_3S_03,Illusion Chain,993,0,0
4D010000,SKILL_CH_SWORD_CHAIN_A_3S_04,Illusion Chain,993,0,0
4E010000,SKILL_CH_SWORD_CHAIN_A_3S_05,Illusion Chain,993,0,0
4F010000,SKILL_CH_SWORD_CHAIN_A_3S_06,Illusion Chain,993,0,0
50010000,SKILL_CH_SWORD_CHAIN_A_3S_07,Illusion Chain,993,0,0
51010000,SKILL_CH_SWORD_CHAIN_A_3S_08,Illusion Chain,993,0,0
52010000,SKILL_CH_SWORD_CHAIN_A_3S_09,Illusion Chain,993,0,0
53010000,SKILL_CH_SWORD_CHAIN_B_1S_02,Blood Chain,596,8000,168
54010000,SKILL_CH_SWORD_CHAIN_B_1S_03,Blood Chain,596,8000,183
55010000,SKILL_CH_SWORD_CHAIN_B_1S_04,Blood Chain,596,8000,200
56010000,SKILL_CH_SWORD_CHAIN_B_1S_05,Blood Chain,596,8000,218
57010000,SKILL_CH_SWORD_CHAIN_B_1S_06,Blood Chain,596,8000,238
58010000,SKILL_CH_SWORD_CHAIN_B_1S_07,Blood Chain,596,8000,258
59010000,SKILL_CH_SWORD_CHAIN_B_1S_08,Blood Chain,596,8000,280
5A010000,SKILL_CH_SWORD_CHAIN_B_1S_09,Blood Chain,596,8000,303
5B010000,SKILL_CH_SWORD_CHAIN_B_2S_02,Blood Chain,602,0,0
5C010000,SKILL_CH_SWORD_CHAIN_B_2S_03,Blood Chain,602,0,0
5D010000,SKILL_CH_SWORD_CHAIN_B_2S_04,Blood Chain,602,0,0
5E010000,SKILL_CH_SWORD_CHAIN_B_2S_05,Blood Chain,602,0,0
5F010000,SKILL_CH_SWORD_CHAIN_B_2S_06,Blood Chain,602,0,0
60010000,SKILL_CH_SWORD_CHAIN_B_2S_07,Blood Chain,602,0,0
61010000,SKILL_CH_SWORD_CHAIN_B_2S_08,Blood Chain,602,0,0
62010000,SKILL_CH_SWORD_CHAIN_B_2S_09,Blood Chain,602,0,0
63010000,SKILL_CH_SWORD_CHAIN_B_3S_02,Blood Chain,605,0,0
64010000,SKILL_CH_SWORD_CHAIN_B_3S_03,Blood Chain,605,0,0
65010000,SKILL_CH_SWORD_CHAIN_B_3S_04,Blood Chain,605,0,0
66010000,SKILL_CH_SWORD_CHAIN_B_3S_05,Blood Chain,605,0,0
67010000,SKILL_CH_SWORD_CHAIN_B_3S_06,Blood Chain,605,0,0
68010000,SKILL_CH_SWORD_CHAIN_B_3S_07,Blood Chain,605,0,0
69010000,SKILL_CH_SWORD_CHAIN_B_3S_08,Blood Chain,605,0,0
6A010000,SKILL_CH_SWORD_CHAIN_B_3S_09,Blood Chain,605,0,0
6B010000,SKILL_CH_SWORD_CHAIN_B_4S_02,Blood Chain,630,0,0
6C010000,SKILL_CH_SWORD_CHAIN_B_4S_03,Blood Chain,630,0,0
6D010000,SKILL_CH_SWORD_CHAIN_B_4S_04,Blood Chain,630,0,0
6E010000,SKILL_CH_SWORD_CHAIN_B_4S_05,Blood Chain,630,0,0
6F010000,SKILL_CH_SWORD_CHAIN_B_4S_06,Blood Chain,630,0,0
70010000,SKILL_CH_SWORD_CHAIN_B_4S_07,Blood Chain,630,0,0
71010000,SKILL_CH_SWORD_CHAIN_B_4S_08,Blood Chain,630,0,0
72010000,SKILL_CH_SWORD_CHAIN_B_4S_09,Blood Chain,630,0,0
73010000,SKILL_CH_SWORD_CHAIN_C_1S_02,Billow Chain,585,8000,236
74010000,SKILL_CH_SWORD_CHAIN_C_1S_03,Billow Chain,585,8000,259
75010000,SKILL_CH_SWORD_CHAIN_C_1S_04,Billow Chain,585,8000,283
76010000,SKILL_CH_SWORD_CHAIN_C_1S_05,Billow Chain,585,8000,308
77010000,SKILL_CH_SWORD_CHAIN_C_1S_06,Billow Chain,585,8000,335
78010000,SKILL_CH_SWORD_CHAIN_C_1S_07,Billow Chain,585,8000,364
79010000,SKILL_CH_SWORD_CHAIN_C_1S_08,Billow Chain,585,8000,394
7A010000,SKILL_CH_SWORD_CHAIN_C_1S_09,Billow Chain,585,8000,427
7B010000,SKILL_CH_SWORD_CHAIN_C_2S_02,Billow Chain,979,0,0
7C010000,SKILL_CH_SWORD_CHAIN_C_2S_03,Billow Chain,979,0,0
7D010000,SKILL_CH_SWORD_CHAIN_C_2S_04,Billow Chain,979,0,0
7E010000,SKILL_CH_SWORD_CHAIN_C_2S_05,Billow Chain,979,0,0
7F010000,SKILL_CH_SWORD_CHAIN_C_2S_06,Billow Chain,979,0,0
80010000,SKILL_CH_SWORD_CHAIN_C_2S_07,Billow Chain,979,0,0
81010000,SKILL_CH_SWORD_CHAIN_C_2S_08,Billow Chain,979,0,0
82010000,SKILL_CH_SWORD_CHAIN_C_2S_09,Billow Chain,979,0,0
83010000,SKILL_CH_SWORD_CHAIN_C_3S_02,Billow Chain,262,0,0
84010000,SKILL_CH_SWORD_CHAIN_C_3S_03,Billow Chain,262,0,0
85010000,SKILL_CH_SWORD_CHAIN_C_3S_04,Billow Chain,262,0,0
86010000,SKILL_CH_SWORD_CHAIN_C_3S_05,Billow Chain,262,0,0
87010000,SKILL_CH_SWORD_CHAIN_C_3S_06,Billow Chain,262,0,0
88010000,SKILL_CH_SWORD_CHAIN_C_3S_07,Billow Chain,262,0,0
89010000,SKILL_CH_SWORD_CHAIN_C_3S_08,Billow Chain,262,0,0
8A010000,SKILL_CH_SWORD_CHAIN_C_3S_09,Billow Chain,262,0,0
8B010000,SKILL_CH_SWORD_CHAIN_C_4S_02,Billow Chain,644,0,0
8C010000,SKILL_CH_SWORD_CHAIN_C_4S_03,Billow Chain,644,0,0
8D010000,SKILL_CH_SWORD_CHAIN_C_4S_04,Billow Chain,644,0,0
8E010000,SKILL_CH_SWORD_CHAIN_C_4S_05,Billow Chain,644,0,0
8F010000,SKILL_CH_SWORD_CHAIN_C_4S_06,Billow Chain,644,0,0
90010000,SKILL_CH_SWORD_CHAIN_C_4S_07,Billow Chain,644,0,0
91010000,SKILL_CH_SWORD_CHAIN_C_4S_08,Billow Chain,644,0,0
92010000,SKILL_CH_SWORD_CHAIN_C_4S_09,Billow Chain,644,0,0
93010000,SKILL_CH_SWORD_CHAIN_C_5S_02,Billow Chain,963,0,0
94010000,SKILL_CH_SWORD_CHAIN_C_5S_03,Billow Chain,963,0,0
95010000,SKILL_CH_SWORD_CHAIN_C_5S_04,Billow Chain,963,0,0
96010000,SKILL_CH_SWORD_CHAIN_C_5S_05,Billow Chain,963,0,0
97010000,SKILL_CH_SWORD_CHAIN_C_5S_06,Billow Chain,963,0,0
98010000,SKILL_CH_SWORD_CHAIN_C_5S_07,Billow Chain,963,0,0
99010000,SKILL_CH_SWORD_CHAIN_C_5S_08,Billow Chain,963,0,0
9A010000,SKILL_CH_SWORD_CHAIN_C_5S_09,Billow Chain,963,0,0
9B010000,SKILL_CH_SWORD_CHAIN_D_1S_02,Ascension Chain,919,8000,510
9C010000,SKILL_CH_SWORD_CHAIN_D_1S_03,Ascension Chain,919,8000,548
9D010000,SKILL_CH_SWORD_CHAIN_D_1S_04,Ascension Chain,919,8000,589
9E010000,SKILL_CH_SWORD_CHAIN_D_1S_05,Ascension Chain,919,8000,631
9F010000,SKILL_CH_SWORD_CHAIN_D_1S_06,Ascension Chain,919,8000,677
A0010000,SKILL_CH_SWORD_CHAIN_D_1S_07,Ascension Chain,919,8000,725
A1010000,SKILL_CH_SWORD_CHAIN_D_1S_08,Ascension Chain,919,8000,776
A2010000,SKILL_CH_SWORD_CHAIN_D_1S_09,Ascension Chain,919,8000,830
A3010000,SKILL_CH_SWORD_CHAIN_D_2S_02,Ascension Chain,426,0,0
A4010000,SKILL_CH_SWORD_CHAIN_D_2S_03,Ascension Chain,426,0,0
A5010000,SKILL_CH_SWORD_CHAIN_D_2S_04,Ascension Chain,426,0,0
A6010000,SKILL_CH_SWORD_CHAIN_D_2S_05,Ascension Chain,426,0,0
A7010000,SKILL_CH_SWORD_CHAIN_D_2S_06,Ascension Chain,426,0,0
A8010000,SKILL_CH_SWORD_CHAIN_D_2S_07,Ascension Chain,426,0,0
A9010000,SKILL_CH_SWORD_CHAIN_D_2S_08,Ascension Chain,426,0,0
AA010000,SKILL_CH_SWORD_CHAIN_D_2S_09,Ascension Chain,426,0,0
AB010000,SKILL_CH_SWORD_CHAIN_D_3S_02,Ascension Chain,854,0,0
AC010000,SKILL_CH_SWORD_CHAIN_D_3S_03,Ascension Chain,854,0,0
AD010000,SKILL_CH_SWORD_CHAIN_D_3S_04,Ascension Chain,854,0,0
AE010000,SKILL_CH_SWORD_CHAIN_D_3S_05,Ascension Chain,854,0,0
AF010000,SKILL_CH_SWORD_CHAIN_D_3S_06,Ascension Chain,854,0,0
B0010000,SKILL_CH_SWORD_CHAIN_D_3S_07,Ascension Chain,854,0,0
B1010000,SKILL_CH_SWORD_CHAIN_D_3S_08,Ascension Chain,854,0,0
B2010000,SKILL_CH_SWORD_CHAIN_D_3S_09,Ascension Chain,854,0,0
B3010000,SKILL_CH_SWORD_CHAIN_D_4S_02,Ascension Chain,834,0,0
B4010000,SKILL_CH_SWORD_CHAIN_D_4S_03,Ascension Chain,834,0,0
B5010000,SKILL_CH_SWORD_CHAIN_D_4S_04,Ascension Chain,834,0,0
B6010000,SKILL_CH_SWORD_CHAIN_D_4S_05,Ascension Chain,834,0,0
B7010000,SKILL_CH_SWORD_CHAIN_D_4S_06,Ascension Chain,834,0,0
B8010000,SKILL_CH_SWORD_CHAIN_D_4S_07,Ascension Chain,834,0,0
