//ID,Type,Name,Level,Hp,TypeID1,TypeID2,TypeID3,TypeID4
8F070000,MOB_CH_BIGEYEGHOST,Big-eyed Ghost,3,85,1,2,1,1
90070000,MOB_CH_GYO_CLON,Old Weasel,4,83,1,2,1,1
91070000,MOB_CH_GYO,Weasel,5,119,1,2,1,1
92070000,MOB_CH_WATERGHOST_CLON,Water Ghost slave,6,114,1,2,1,1
93070000,MOB_CH_WATERGHOST,Water Ghost,7,156,1,2,1,1
94070000,MOB_CH_STONEGHOST_CLON,Broken Stone Ghost,8,204,1,2,1,1
95070000,MOB_CH_STONEGHOST,Stone Ghost,9,194,1,2,1,1
96070000,MOB_CH_YEOHA_CLON,Decayed Yeoha,10,249,1,2,1,1
97070000,MOB_CH_YEOHA,Yeoha,10,249,1,2,1,1
98070000,MOB_CH_BANDITARCHER_CLON,Bandit bowman,15,514,1,2,1,1
99070000,MOB_CH_BANDITARCHER,Bandit archer,12,324,1,2,1,1
9A070000,MOB_CH_TIGER_CLON,Young Tiger,13,387,1,2,1,1
9B070000,MOB_CH_TIGER,Tiger,14,509,1,2,1,1
9C070000,MOB_CH_BANDIT_CLON,Bandit surbodinate,11,310,1,2,1,1
9D070000,MOB_CH_BANDIT,Bandit,16,755,1,2,1,1
9E070000,MOB_CH_TOMBSTONE_CLON,Tomb Stone Ghost,8,204,1,2,1,1
9F070000,MOB_CH_TOMBSTONE,Tomb Stone ,9,194,1,2,1,1
A0070000,MOB_CH_WHITETIGER_CLON,Black Tiger,17,749,1,2,1,1
A1070000,MOB_CH_WHITETIGER,White Tiger,18,809,1,2,1,1
A2070000,MOB_CH_TIGERWOMAN,Tiger Girl,20,598720,1,2,1,1
A3070000,MOB_CH_CHAKJI_CLON,Chakji Worker,19,958,1,2,1,1
A4070000,MOB_CH_CHAKJI,Chakji,20,1031,1,2,1,1
A6070000,MOB_WC_GHOSTBUG,Ghost Bug,21,1106,1,2,1,1
A8070000,MOB_WC_DEVILBUG,Devil Bug,22,1184,1,2,1,1
AA070000,MOB_WC_EARTHGHOST_CLON,Meek Earth Ghost,28,1535,1,2,1,1
AB070000,MOB_WC_EARTHGHOST,Earth Ghost,27,1451,1,2,1,1
AC070000,MOB_WC_GUNPOWDERGHOST_CLON,Meek Gun Powder,27,1451,1,2,1,1
AD070000,MOB_WC_GUNPOWDERGHOST,Gun Powder ,28,1535,1,2,1,1
AE070000,MOB_WC_EARTHKING,Earth Taoist,30,1513,1,2,1,1
AF070000,MOB_WC_DEMONHORSE_CLON,Devil Horse,26,1370,1,2,1,1
B0070000,MOB_WC_DEMONHORSE,Demon Horse,25,1291,1,2,1,1
B1070000,MOB_WC_HYEONGCHEON_CLON,Hyeongcheon guard,29,1807,1,2,1,1
B2070000,MOB_WC_HYEONGCHEON,Hyeongcheon,30,1909,1,2,1,1
B3070000,MOB_DH_BUGGHOST,Earth Ghost Bug,63,8495,1,2,1,1
B4070000,MOB_DH_WORKEARTHGHOST,Power Earth Ghost,64,9139,1,2,1,1
B5070000,MOB_DH_SOLDIEREARTHGHOST,Earth Ghost Soldier,66,9792,1,2,1,1
B6070000,MOB_DH_BLINDMON,Mole,68,9265,1,2,1,1
B7070000,MOB_DH_YACHA,Diamond Yacha,70,11214,1,2,1,1
B8070000,MOB_DH_NACHAL,Devil Mask Nachal,70,8603,1,2,1,1
B9070000,MOB_OA_SCORPION,Scorpion,32,2121,1,2,1,1
BA070000,MOB_OA_ONG,Ong,34,2099,1,2,1,1
BB070000,MOB_OA_DESERTTRUNKZ,Blood Death Flower,34,1849,1,2,1,1
BC070000,MOB_OA_BLACKROBBER,Black Robber,38,2539,1,2,1,1
BD070000,MOB_OA_BLACKROBBERARCHER,Black Robber Archer,36,2034,1,2,1,1
BE070000,MOB_OA_URUCHI,Uruchi,40,1779528,1,2,1,1
BF070000,MOB_OA_REDEYEGHOST,Red-eye Ghost,41,2907,1,2,1,1
C0070000,MOB_OA_REDSCORPION,Red Scorpion,40,3121,1,2,1,1
C1070000,MOB_KT_BUNWANG_CLON,Small Bunwang,44,3311,1,2,1,1
C3070000,MOB_KT_BUNWANG,Bunwang,45,3454,1,2,1,1
C6070000,MOB_KT_WHITESPIDER,White Spider,48,3909,1,2,1,1
C7070000,MOB_KT_MUJIGI,Mujigi,49,3557,1,2,1,1
CA070000,MOB_KT_WHITESPIDER_CLON,Golden Spider,47,3753,1,2,1,1
CB070000,MOB_KK_GWHITESPIDER,Big White Spider,58,6027,1,2,1,1
CC070000,MOB_KK_YETI,Yeti,59,7059,1,2,1,1
D0070000,MOB_KK_PLANAR_CLON,Sona,57,6557,1,2,1,1
D2070000,MOB_KK_ISYUTARU,Isyutaru,60,4324612,1,2,1,1
D3070000,NPC_CH_SMITH,Blacksmith Chulsan,0,0,1,2,2,0
D4070000,NPC_CH_ARMOR,Protector Trader Mrs Jang,0,0,1,2,2,0
D5070000,NPC_CH_POTION,Herbalist Yangyun,0,0,1,2,2,0
D6070000,NPC_CH_POTION2,Herbalist Pungjang,0,0,1,2,2,0
D7070000,NPC_CH_POTION3,Herbalist Namgungun,0,0,1,2,2,0
D8070000,NPC_CH_ACCESSORY,Grocery Trader Jinjin,0,0,1,2,2,0
D9070000,NPC_CH_HORSE,Stable-Keeper Machun,0,0,1,2,2,0
DA070000,NPC_CH_SPECIAL,Specialty Trader Jodaesan,0,0,1,2,2,0
DB070000,NPC_CH_FERRY,Ferry Ticket Seller Doji,0,0,1,2,2,0
DC070000,NPC_CH_BOATMAN,Boatman Fengsu,0,0,1,2,2,0
DD070000,NPC_CH_WAREHOUSE_M,Storage-Keeper Wangu,0,0,1,2,2,0
DE070000,NPC_CH_WAREHOUSE_W,Storage-Keeper Sansan,0,0,1,2,2,0
DF070000,NPC_CH_TICKET,Ticket Seller Gyoun,0,0,1,2,2,0
E0070000,NPC_CH_LOTTERY,Lottery Seller Wangwon,0,0,1,2,2,0
E1070000,NPC_CH_SHAMAN,Exorcist Miaoryeong,0,0,1,2,2,0
E2070000,NPC_CH_CHEF,Village Chief Hwangno,0,0,1,2,2,0
E3070000,NPC_CH_GENARAL,General Sonhyeon,0,0,1,2,2,0
E4070000,NPC_CH_GENARAL_SW,Hunter Associate Gwakwi,0,0,1,2,2,0
E5070000,NPC_CH_GENARAL_SP,Guild Manager Leebaek,0,0,1,2,2,0
E6070000,NPC_CH_GENARAL_BO,Juho,0,0,1,2,2,0
E7070000,NPC_CH_PRIEST,Buddhist Priest Jeonghye,0,0,1,2,2,0
EB070000,NPC_CH_DOCTOR,Merchant Associate Hwajung,0,0,1,2,2,0
EC070000,NPC_CH_ISLAM,Islam Merchant Ishyak,0,0,1,2,2,0
ED070000,NPC_CH_EUROPE,Adventurer Flora,0,0,1,2,2,0
EE070000,NPC_CH_INDIA,Buddhist Priest Kushyan,0,0,1,2,2,0
EF070000,NPC_CH_SOLDIER_EM1,Soldier Choiyoung [Teleport],0,0,1,2,2,0
F0070000,NPC_CH_SOLDIER_EM2,Soldier Fengil,0,0,1,2,2,0
F1070000,NPC_CH_SOLDIER_EA1,Soldier Iyang,0,0,1,2,2,0
F2070000,NPC_CH_SOLDIER_EA2,Solder Sangnam [Teleport],0,0,1,2,2,0
F3070000,NPC_CH_SOLDIER_WE1,Soldier Hogang [Teleport],0,0,1,2,2,0
F4070000,NPC_CH_SOLDIER_WE2,Soldier Jowi,0,0,1,2,2,0
F5070000,NPC_CH_SOLDIER_SO1,Soldier Jingyo [Teleport],0,0,1,2,2,0
F6070000,NPC_CH_SOLDIER_SO2,Soldier Dangsam,0,0,1,2,2,0
F7070000,NPC_CH_BEGGARBOY,Bagger Sochil,0,0,1,2,2,0
F8070000,NPC_CH_BIGMAN,Casino Guardian Huhoan,0,0,1,2,2,0
F9070000,NPC_CH_KISAENG1,Gisaeng So-Ok,0,0,1,2,2,0
FA070000,NPC_CH_KISAENG2,Gisaeng Juju,0,0,1,2,2,0
FB070000,NPC_CH_KISAENG3,Gisaeng Ahjin,0,0,1,2,2,0
FC070000,NPC_CH_KISAENG4,Gisaeng Mihyang,0,0,1,2,2,0
FD070000,NPC_CH_KISAENG5,Gisaeng Juyeong,0,0,1,2,2,0
FE070000,NPC_CH_KISAENG6,Gisaeng Yumi,0,0,1,2,2,0
FF070000,NPC_CH_HORSE1,Horse,0,0,1,2,2,0
00080000,NPC_CH_HORSE2,Horse,0,0,1,2,2,0
01080000,NPC_CH_HORSE3,Horse,0,0,1,2,2,0
02080000,NPC_CH_HORSE4,Horse,0,0,1,2,2,0
03080000,NPC_WC_SMITH,Blacksmith Agol,0,0,1,2,2,0
04080000,NPC_WC_ARMOR,Protector Trader Yeolah,0,0,1,2,2,0
05080000,NPC_WC_POTION,Herbalist Bori,0,0,1,2,2,0
06080000,NPC_WC_ACCESSORY,Grocery Trader Yeosun,0,0,1,2,2,0
07080000,NPC_WC_HORSE,Stable-Keeper Makgo,0,0,1,2,2,0
08080000,NPC_WC_FERRY,Ferry Ticket Seller Tayun,0,0,1,2,2,0
09080000,NPC_WC_WAREHOUSE_M,Storage-Keeper Paedo,0,0,1,2,2,0
0A080000,NPC_WC_WAREHOUSE_W,Storage-Keeper Irina,0,0,1,2,2,0
0B080000,NPC_WC_SPECIAL,Specialty Shop Elder Leegak,0,0,1,2,2,0
0C080000,NPC_WC_PRIEST1,Buddhist Priest Fa,0,0,1,2,2,0
0D080000,NPC_WC_PRIEST2,Buddhist Priest Hyeon ,0,0,1,2,2,0
0E080000,NPC_WC_GENARAL_SW,Hunter Associate Haraho,0,0,1,2,2,0
0F080000,NPC_WC_GENARAL_SP,Baekako,0,0,1,2,2,0
10080000,NPC_WC_GENARAL_BO,Honmusa,0,0,1,2,2,0
11080000,NPC_WC_DOCTOR,Merchant Associate Leegeuk,0,0,1,2,2,0
12080000,NPC_WC_SOLDIER_EA1,Soldier Moho,0,0,1,2,2,0
13080000,NPC_WC_SOLDIER_EA2,Soldier Hahun,0,0,1,2,2,0
14080000,NPC_WC_SOLDIER_WE1,Soldier Manho,0,0,1,2,2,0
15080000,NPC_WC_SOLDIER_WE2,Soldier Dooil,0,0,1,2,2,0
16080000,NPC_WC_SOLDIER_SO,Soldier Baeksong,0,0,1,2,2,0
17080000,NPC_WC_PRIEST3,Buddhist Priest Bupgong,0,0,1,2,2,0
18080000,NPC_KT_SMITH,Blacksmith Soboi,0,0,1,2,2,0
19080000,NPC_KT_ARMOR,Protector Trader Gonishya,0,0,1,2,2,0
1A080000,NPC_KT_POTION,Potion Merchant Manina,0,0,1,2,2,0
1B080000,NPC_KT_ACCESSORY,Jewel Lapidary Mamoje,0,0,1,2,2,0
1C080000,NPC_KT_HORSE,Stable-Keeper Salihap,0,0,1,2,2,0
1D080000,NPC_KT_SPECIAL,Specialty Trader Sanmok,0,0,1,2,2,0
1E080000,NPC_KT_DESIGNER,Merchant Associate Asaman,0,0,1,2,2,0
1F080000,NPC_KT_FERRY,Boat Ticket Seller Ahgon,0,0,1,2,2,0
20080000,NPC_KT_BOATMAN1,Boatman Morap,0,0,1,2,2,0
21080000,NPC_KT_BINIKI1,Pool Clerk Rima,0,0,1,2,2,0
22080000,NPC_KT_BINIKI2,Pool Clerk Mana,0,0,1,2,2,0
23080000,NPC_KT_WAREHOUSE,Storage-Keeper Auisan,0,0,1,2,2,0
24080000,NPC_KT_MANAGER,Nephrite Refiner Pahap,0,0,1,2,2,0
25080000,NPC_KT_MINISTER,Hunter Associate Ahmok,0,0,1,2,2,0
26080000,NPC_KT_SOLDIER_EM1,Soldier Pao,0,0,1,2,2,0
27080000,NPC_KT_SOLDIER_EM2,Soldier Tuolan,0,0,1,2,2,0
28080000,NPC_KT_SOLDIER_EA1,Soldier Baoman,0,0,1,2,2,0
29080000,NPC_KT_SOLDIER_EA2,Soldier Makhan,0,0,1,2,2,0
2A080000,NPC_KT_SOLDIER_SO1,Soldier Duyun,0,0,1,2,2,0
2B080000,NPC_KT_SOLDIER_SO2,Soldier Leihan,0,0,1,2,2,0
2C080000,NPC_KT_SOLDIER_WE1,Soldier Wulan,0,0,1,2,2,0
2D080000,NPC_KT_SOLDIER_WE2,Soldier Batu,0,0,1,2,2,0
31080000,MOB_WC_HYUNGNO,Hyungno Ghost soldier,23,1264,1,2,1,1
32080000,MOB_WC_HYUNGNO_CLON,Hyungno Ghost ,24,1347,1,2,1,1
33080000,MOB_WC_EARTHKING_CLON,Earth Magician,30,1513,1,2,1,1
34080000,MOB_OA_SCORPION_CLON,Black scorpion,31,2013,1,2,1,1
35080000,MOB_OA_DESERTTRUNKZ_CLON2,Blood Devil  Flower,33,1761,1,2,1,1
36080000,MOB_OA_ONG_CLON,Blood Ong,33,1997,1,2,1,1
37080000,MOB_OA_BLACKROBBER_CLON,Black Robber Follower,35,2204,1,2,1,1
38080000,MOB_OA_YEOWA_CLON,Black Yeowa,35,2467,1,2,1,1
39080000,MOB_OA_YEOWA,Red Yeowa,36,2590,1,2,1,1
3A080000,MOB_OA_BLACKROBBERARCHER_CLON,Black Robber Bowman,37,2131,1,2,1,1
3B080000,MOB_OA_REDSCORPION_CLON,Small Red Scorpion,39,2982,1,2,1,1
3C080000,MOB_OA_REDEYEGHOST_CLON,Dark-eye Ghost,42,3038,1,2,1,1
3D080000,MOB_KT_ONG_CLON2,Maong,43,3172,1,2,1,1
3E080000,MOB_KT_MUJIGI_CLON,Ujigi,50,3701,1,2,1,1
3F080000,MOB_KK_ISHADE,Ishade,51,3849,1,2,1,1
40080000,MOB_KK_ISHADE_CLON,Hashade,52,4001,1,2,1,1
41080000,MOB_KK_SPIDER_CLON,Blue-face Spider,52,4584,1,2,1,1
42080000,MOB_KK_SPIDER,White-face spider,53,4766,1,2,1,1
45080000,MOB_KK_GWHITESPIDER_CLON,Big Blue Spider,57,5809,1,2,1,1
46080000,MOB_KK_YETI_CLON,Evil-Yeti,60,7634,1,2,1,1
47080000,NPC_CH_FERRY2,Ferry Ticket Seller Chau,0,0,1,2,2,0
48080000,NPC_WC_FERRY2,Ferry Ticket Seller Hageuk,0,0,1,2,2,0
4C080000,MOB_KT_DESERTTRUNKZ_CLON,Ultra Blood Devil ,46,4052,1,2,1,1
4D080000,MOB_KK_PLANAR,Planar,56,6317,1,2,1,1
4E080000,MOB_KK_PENON_F,Penon Fighter,54,5586,1,2,1,1
4F080000,MOB_KK_PENON_W,Penon Warrior,55,6084,1,2,1,1
81080000,NPC_TD_THIEF_BUY,Stolen Goods Dealer,0,0,1,2,2,0
82080000,NPC_TD_THIEF_SELL,Thief Associate,0,0,1,2,2,0
83080000,NPC_TD_THIEF_A,Black Robber Band,0,0,1,2,2,0
84080000,NPC_TD_THIEF_B,Tiger Bandit Band,0,0,1,2,2,0
85080000,NPC_TD_THIEF_C,Vicious Desperado,0,0,1,2,2,0
86080000,NPC_TD_THIEF_D,Windy Phantom Thief,0,0,1,2,2,0
87080000,COS_T_DONKEY,Donkey,20,3933,1,2,3,2
88080000,COS_T_HORSE1,Horse,30,6571,1,2,3,2
89080000,COS_T_HORSE2,Thoroughbred,45,12428,1,2,3,2
8A080000,COS_T_HORSE3,White Horse,60,21552,1,2,3,2
8B080000,COS_T_CAMEL1,Arabian camel,30,13141,1,2,3,2
8C080000,COS_T_CAMEL2,Bactrian camel,45,24857,1,2,3,2
8D080000,COS_T_CAMEL3,Indian camel,60,43104,1,2,3,2
8E080000,COS_C_DONKEY,Mule,10,508,1,2,3,1
8F080000,COS_C_HORSE1,Red Horse,20,983,1,2,3,1
90080000,COS_C_HORSE2,Shadow Horse,40,2544,1,2,3,1
91080000,COS_C_HORSE3,Dragon Horse,60,5388,1,2,3,1
92080000,COS_C_CAMEL1,Camel,20,1475,1,2,3,1
93080000,COS_C_CAMEL2,Geonche Camel,40,3815,1,2,3,1
94080000,COS_C_CAMEL3,Gangche Camel,60,8082,1,2,3,1
AE080000,MOB_THIEF_NPC_0001,Thief,1,65,1,2,1,2
AF080000,MOB_THIEF_NPC_0002,Thief,1,54,1,2,1,2
B0080000,MOB_THIEF_NPC_0003,Thief,1,54,1,2,1,2
B1080000,MOB_THIEF_NPC_0004,Thief,1,65,1,2,1,2
B2080000,MOB_THIEF_NPC_0005,Thief,1,54,1,2,1,2
B3080000,MOB_THIEF_NPC_0006,Thief,1,54,1,2,1,2
B4080000,MOB_THIEF_NPC_0007,Thief,1,65,1,2,1,2
B5080000,MOB_THIEF_NPC_0008,Thief,1,54,1,2,1,2
B6080000,MOB_THIEF_NPC_0009,Thief,1,54,1,2,1,2
B7080000,MOB_THIEF_NPC_0010,Thief,1,65,1,2,1,2
B8080000,MOB_THIEF_NPC_0011,Thief,2,55,1,2,1,2
B9080000,MOB_THIEF_NPC_0012,Thief,2,55,1,2,1,2
BA080000,MOB_THIEF_NPC_0013,Thief,2,68,1,2,1,2
BB080000,MOB_THIEF_NPC_0014,Thief,2,55,1,2,1,2
BC080000,MOB_THIEF_NPC_0015,Thief,2,55,1,2,1,2
BD080000,MOB_THIEF_NPC_0016,Thief,2,68,1,2,1,2
BE080000,MOB_THIEF_NPC_0017,Thief,2,55,1,2,1,2
BF080000,MOB_THIEF_NPC_0018,Thief,2,55,1,2,1,2
C0080000,MOB_THIEF_NPC_0019,Thief,2,68,1,2,1,2
C1080000,MOB_THIEF_NPC_0020,Thief,2,55,1,2,1,2
C2080000,MOB_THIEF_NPC_0021,Thief,3,85,1,2,1,2
C3080000,MOB_THIEF_NPC_0022,Thief,3,93,1,2,1,2
C4080000,MOB_THIEF_NPC_0023,Thief,3,85,1,2,1,2
C5080000,MOB_THIEF_NPC_0024,Thief,3,85,1,2,1,2
C6080000,MOB_THIEF_NPC_0025,Thief,3,93,1,2,1,2
C7080000,MOB_THIEF_NPC_0026,Thief,3,85,1,2,1,2
C8080000,MOB_THIEF_NPC_0027,Thief,3,85,1,2,1,2
C9080000,MOB_THIEF_NPC_0028,Thief,3,93,1,2,1,2
CA080000,MOB_THIEF_NPC_0029,Thief,3,85,1,2,1,2
CB080000,MOB_THIEF_NPC_0030,Thief,3,85,1,2,1,2
CC080000,MOB_THIEF_NPC_0031,Thief,4,94,1,2,1,2
CD080000,MOB_THIEF_NPC_0032,Thief,4,83,1,2,1,2
CE080000,MOB_THIEF_NPC_0033,Thief,4,83,1,2,1,2
CF080000,MOB_THIEF_NPC_0034,Thief,4,94,1,2,1,2
D0080000,MOB_THIEF_NPC_0035,Thief,4,83,1,2,1,2
D1080000,MOB_THIEF_NPC_0036,Thief,4,83,1,2,1,2
D2080000,MOB_THIEF_NPC_0037,Thief,4,94,1,2,1,2
D3080000,MOB_THIEF_NPC_0038,Thief,4,83,1,2,1,2
D4080000,MOB_THIEF_NPC_0039,Thief,4,83,1,2,1,2
D5080000,MOB_THIEF_NPC_0040,Thief,4,94,1,2,1,2
D6080000,MOB_THIEF_NPC_0041,Thief,5,119,1,2,1,2
D7080000,MOB_THIEF_NPC_0042,Thief,5,119,1,2,1,2
D8080000,MOB_THIEF_NPC_0043,Thief,5,124,1,2,1,2
D9080000,MOB_THIEF_NPC_0044,Thief,5,119,1,2,1,2
DA080000,MOB_THIEF_NPC_0045,Thief,5,119,1,2,1,2
DB080000,MOB_THIEF_NPC_0046,Thief,5,124,1,2,1,2
DC080000,MOB_THIEF_NPC_0047,Thief,5,119,1,2,1,2
DD080000,MOB_THIEF_NPC_0048,Thief,5,119,1,2,1,2
DE080000,MOB_THIEF_NPC_0049,Thief,5,124,1,2,1,2
DF080000,MOB_THIEF_NPC_0050,Thief,5,119,1,2,1,2
E0080000,MOB_THIEF_NPC_0051,Thief,6,114,1,2,1,2
E1080000,MOB_THIEF_NPC_0052,Thief,6,123,1,2,1,2
E2080000,MOB_THIEF_NPC_0053,Thief,6,114,1,2,1,2
E3080000,MOB_THIEF_NPC_0054,Thief,6,114,1,2,1,2
E4080000,MOB_THIEF_NPC_0055,Thief,6,123,1,2,1,2
E5080000,MOB_THIEF_NPC_0056,Thief,6,114,1,2,1,2
E6080000,MOB_THIEF_NPC_0057,Thief,6,114,1,2,1,2
E7080000,MOB_THIEF_NPC_0058,Thief,6,123,1,2,1,2
E8080000,MOB_THIEF_NPC_0059,Thief,6,114,1,2,1,2
E9080000,MOB_THIEF_NPC_0060,Thief,6,114,1,2,1,2
EA080000,MOB_THIEF_NPC_0061,Thief,7,158,1,2,1,2
EB080000,MOB_THIEF_NPC_0062,Thief,7,156,1,2,1,2
EC080000,MOB_THIEF_NPC_0063,Thief,7,156,1,2,1,2
ED080000,MOB_THIEF_NPC_0064,Thief,7,158,1,2,1,2
EE080000,MOB_THIEF_NPC_0065,Thief,7,156,1,2,1,2
EF080000,MOB_THIEF_NPC_0066,Thief,7,156,1,2,1,2
F0080000,MOB_THIEF_NPC_0067,Thief,7,158,1,2,1,2
F1080000,MOB_THIEF_NPC_0068,Thief,7,156,1,2,1,2
F2080000,MOB_THIEF_NPC_0069,Thief,7,156,1,2,1,2
F3080000,MOB_THIEF_NPC_0070,Thief,7,158,1,2,1,2
F4080000,MOB_THIEF_NPC_0071,Thief,8,204,1,2,1,2
F5080000,MOB_THIEF_NPC_0072,Thief,8,204,1,2,1,2
F6080000,MOB_THIEF_NPC_0073,Thief,8,197,1,2,1,2
F7080000,MOB_THIEF_NPC_0074,Thief,8,204,1,2,1,2
F8080000,MOB_THIEF_NPC_0075,Thief,8,204,1,2,1,2
F9080000,MOB_THIEF_NPC_0076,Thief,8,197,1,2,1,2
FA080000,MOB_THIEF_NPC_0077,Thief,8,204,1,2,1,2
FB080000,MOB_THIEF_NPC_0078,Thief,8,204,1,2,1,2
FC080000,MOB_THIEF_NPC_0079,Thief,8,197,1,2,1,2
FD080000,MOB_THIEF_NPC_0080,Thief,8,204,1,2,1,2
FE080000,MOB_THIEF_NPC_0081,Thief,9,194,1,2,1,2
FF080000,MOB_THIEF_NPC_0082,Thief,9,192,1,2,1,2
00090000,MOB_THIEF_NPC_0083,Thief,9,194,1,2,1,2
01090000,MOB_THIEF_NPC_0084,Thief,9,194,1,2,1,2
02090000,MOB_THIEF_NPC_0085,Thief,9,192,1,2,1,2
03090000,MOB_THIEF_NPC_0086,Thief,9,194,1,2,1,2
04090000,MOB_THIEF_NPC_0087,Thief,9,194,1,2,1,2
05090000,MOB_THIEF_NPC_0088,Thief,9,192,1,2,1,2
06090000,MOB_THIEF_NPC_0089,Thief,9,194,1,2,1,2
07090000,MOB_THIEF_NPC_0090,Thief,9,194,1,2,1,2
08090000,MOB_THIEF_NPC_0091,Thief,10,236,1,2,1,2
09090000,MOB_THIEF_NPC_0092,Thief,10,249,1,2,1,2
0A090000,MOB_THIEF_NPC_0093,Thief,10,249,1,2,1,2
0B090000,MOB_THIEF_NPC_0094,Thief,10,236,1,2,1,2
0C090000,MOB_THIEF_NPC_0095,Thief,10,249,1,2,1,2
0D090000,MOB_THIEF_NPC_0096,Thief,10,249,1,2,1,2
0E090000,MOB_THIEF_NPC_0097,Thief,10,236,1,2,1,2
0F090000,MOB_THIEF_NPC_0098,Thief,10,249,1,2,1,2
10090000,MOB_THIEF_NPC_0099,Thief,10,249,1,2,1,2
11090000,MOB_THIEF_NPC_0100,Thief,10,236,1,2,1,2
12090000,MOB_THIEF_NPC_0101,Thief,11,310,1,2,1,2
13090000,MOB_THIEF_NPC_0102,Thief,11,310,1,2,1,2
14090000,MOB_THIEF_NPC_0103,Thief,11,286,1,2,1,2
15090000,MOB_THIEF_NPC_0104,Thief,11,310,1,2,1,2
16090000,MOB_THIEF_NPC_0105,Thief,11,310,1,2,1,2
17090000,MOB_THIEF_NPC_0106,Thief,11,286,1,2,1,2
18090000,MOB_THIEF_NPC_0107,Thief,11,310,1,2,1,2
19090000,MOB_THIEF_NPC_0108,Thief,11,310,1,2,1,2
1A090000,MOB_THIEF_NPC_0109,Thief,11,286,1,2,1,2
1B090000,MOB_THIEF_NPC_0110,Thief,11,310,1,2,1,2
1C090000,MOB_THIEF_NPC_0111,Thief,12,359,1,2,1,2
1D090000,MOB_THIEF_NPC_0112,Thief,12,324,1,2,1,2
1E090000,MOB_THIEF_NPC_0113,Thief,12,359,1,2,1,2
1F090000,MOB_THIEF_NPC_0114,Thief,12,359,1,2,1,2
20090000,MOB_THIEF_NPC_0115,Thief,12,324,1,2,1,2
21090000,MOB_THIEF_NPC_0116,Thief,12,359,1,2,1,2
22090000,MOB_THIEF_NPC_0117,Thief,12,359,1,2,1,2
23090000,MOB_THIEF_NPC_0118,Thief,12,324,1,2,1,2
24090000,MOB_THIEF_NPC_0119,Thief,12,359,1,2,1,2
25090000,MOB_THIEF_NPC_0120,Thief,12,359,1,2,1,2
