//ID,Type,Name,Level,Stack,Durability,TypeID1,TypeID2,TypeID3,TypeID4
48000000,ITEM_CH_SWORD_01_B,Short Copper Sword,3,1,63,3,1,6,2
49000000,ITEM_CH_SWORD_01_C,Long Copper Sword,5,1,65,3,1,6,2
4A000000,ITEM_CH_SWORD_02_A,Infantry Bronze Sword,8,1,67,3,1,6,2
4B000000,ITEM_CH_SWORD_02_B,Lancer Bronze Sword,10,1,68,3,1,6,2
4C000000,ITEM_CH_SWORD_02_C,Cavalry Bronze Sword,13,1,70,3,1,6,2
4D000000,ITEM_CH_SWORD_03_A,Bloody Sharp Sword,16,1,71,3,1,6,2
4E000000,ITEM_CH_SWORD_03_B,Deadly Sharp Sword,18,1,73,3,1,6,2
4F000000,ITEM_CH_SWORD_03_C,Spiritual Sharp Sword,21,1,75,3,1,6,2
50000000,ITEM_CH_SWORD_04_A,Snake Frost Sword,24,1,76,3,1,6,2
51000000,ITEM_CH_SWORD_04_B,Inexorable Frost Sword,26,1,78,3,1,6,2
52000000,ITEM_CH_SWORD_04_C,Cruel Frost Sword,29,1,79,3,1,6,2
53000000,ITEM_CH_SWORD_05_A,Iron Lord's Sword,32,1,81,3,1,6,2
54000000,ITEM_CH_SWORD_05_B,Silver Lord's Sword,35,1,83,3,1,6,2
55000000,ITEM_CH_SWORD_05_C,Gold Lord's Sword,38,1,85,3,1,6,2
56000000,ITEM_CH_SWORD_06_A,Jade Gem Sword,42,1,87,3,1,6,2
57000000,ITEM_CH_SWORD_06_B,Pearl Gem Sword,45,1,89,3,1,6,2
58000000,ITEM_CH_SWORD_06_C,Onix Gem Sword,48,1,91,3,1,6,2
59000000,ITEM_CH_SWORD_07_A,Robust Guard Sword,52,1,94,3,1,6,2
5A000000,ITEM_CH_SWORD_07_B,Impregnable Guard Sword,56,1,96,3,1,6,2
5B000000,ITEM_CH_SWORD_07_C,Godly Guard Sword,60,1,99,3,1,6,2
5C000000,ITEM_CH_SWORD_08_A,Flaming Devil Sword,64,1,101,3,1,6,2
5D000000,ITEM_CH_SWORD_08_B,Burning Devil Sword,68,1,103,3,1,6,2
5E000000,ITEM_CH_SWORD_08_C,Hellfire Devil Sword,72,1,106,3,1,6,2
5F000000,ITEM_CH_SWORD_09_A,Genuine Master Sword,76,1,108,3,1,6,2
60000000,ITEM_CH_SWORD_09_B,Authentic Master Sword,80,1,111,3,1,6,2
61000000,ITEM_CH_SWORD_09_C,True Master Sword,85,1,114,3,1,6,2
62000000,ITEM_CH_SWORD_10_A,Oblivion Break Heaven Sword,90,1,117,3,1,6,2
63000000,ITEM_CH_SWORD_10_B,Ancient Break Heaven Sword,94,1,119,3,1,6,2
64000000,ITEM_CH_SWORD_10_C,Legendary Break Heaven Sword,98,1,122,3,1,6,2
65000000,ITEM_CH_SWORD_11_A,Reaper Ghost Sword,101,1,124,3,1,6,2
68000000,ITEM_CH_SWORD_12_A,Imperial Divine Sword,111,1,130,3,1,6,2
69000000,ITEM_CH_SWORD_12_B,Hunwon's Divine Sword,114,1,132,3,1,6,2
6A000000,ITEM_CH_SWORD_12_C,Chwiu's Divine Sword,118,1,134,3,1,6,2
6B000000,ITEM_CH_BLADE_01_A,Copper Blade,1,1,69,3,1,6,3
6C000000,ITEM_CH_BLADE_01_B,Short Copper Blade,3,1,70,3,1,6,3
6D000000,ITEM_CH_BLADE_01_C,Long Copper Blade,5,1,71,3,1,6,3
6E000000,ITEM_CH_BLADE_02_A,Infantry Hand Blade,8,1,74,3,1,6,3
6F000000,ITEM_CH_BLADE_02_B,Lancer Hand Blade,10,1,75,3,1,6,3
70000000,ITEM_CH_BLADE_02_C,Cavalry Hand Blade,13,1,77,3,1,6,3
71000000,ITEM_CH_BLADE_03_A,Mhong tribe Cutting Blade,16,1,79,3,1,6,3
72000000,ITEM_CH_BLADE_03_B,Kang tribe Cutting Blade,18,1,80,3,1,6,3
73000000,ITEM_CH_BLADE_03_C,Hun tribe Cutting Blade,21,1,82,3,1,6,3
74000000,ITEM_CH_BLADE_04_A,Iron General Blade,24,1,84,3,1,6,3
75000000,ITEM_CH_BLADE_04_B,Silver General Blade,26,1,86,3,1,6,3
76000000,ITEM_CH_BLADE_04_C,Gold General Blade,29,1,88,3,1,6,3
77000000,ITEM_CH_BLADE_05_A,Lunar Blade,32,1,90,3,1,6,3
78000000,ITEM_CH_BLADE_05_B,Rune Lunar Blade,35,1,92,3,1,6,3
79000000,ITEM_CH_BLADE_05_C,Holy Lunar Blade,38,1,94,3,1,6,3
7A000000,ITEM_CH_BLADE_06_A,Python's Blade,42,1,97,3,1,6,3
7B000000,ITEM_CH_BLADE_06_B,Python's Freezing Blade,45,1,99,3,1,6,3
7C000000,ITEM_CH_BLADE_06_C,Python's Frozen Blade,48,1,101,3,1,6,3
7D000000,ITEM_CH_BLADE_07_A,Phoenix Cornu Blade,52,1,103,3,1,6,3
7E000000,ITEM_CH_BLADE_07_B,Girin Cornu Blade,56,1,106,3,1,6,3
7F000000,ITEM_CH_BLADE_07_C,Dragon Cornu Blade,60,1,109,3,1,6,3
80000000,ITEM_CH_BLADE_08_A,Flaming Blaze Blade,64,1,112,3,1,6,3
81000000,ITEM_CH_BLADE_08_B,Burning Blaze Blade,68,1,114,3,1,6,3
82000000,ITEM_CH_BLADE_08_C,Hellfire Blaze Blade,72,1,117,3,1,6,3
83000000,ITEM_CH_BLADE_09_A,Mercury Astral Blade,76,1,120,3,1,6,3
84000000,ITEM_CH_BLADE_09_B,Venus Astral Blade,80,1,123,3,1,6,3
85000000,ITEM_CH_BLADE_09_C,Mars Astral Blade,85,1,126,3,1,6,3
86000000,ITEM_CH_BLADE_10_A,Brutal Giant Barbaric Sword ,90,1,129,3,1,6,3
87000000,ITEM_CH_BLADE_10_B,Savage Giant Barbaric Sword ,94,1,132,3,1,6,3
88000000,ITEM_CH_BLADE_10_C,Ferocious Giant Barbaric Sword ,98,1,135,3,1,6,3
89000000,ITEM_CH_BLADE_11_A,Strom Adamantine Blade,101,1,137,3,1,6,3
8C000000,ITEM_CH_BLADE_12_A,White Dragon Blade,111,1,144,3,1,6,3
8D000000,ITEM_CH_BLADE_12_B,Bluish Dragon Blade,114,1,146,3,1,6,3
8E000000,ITEM_CH_BLADE_12_C,Golden Dragon Blade,118,1,148,3,1,6,3
8F000000,ITEM_CH_SPEAR_01_A,Crescent,1,1,42,3,1,6,4
90000000,ITEM_CH_SPEAR_01_B,Short Crescent,3,1,42,3,1,6,4
91000000,ITEM_CH_SPEAR_01_C,Long Crescent,5,1,43,3,1,6,4
92000000,ITEM_CH_SPEAR_02_A,Infantry Long Pike,8,1,44,3,1,6,4
93000000,ITEM_CH_SPEAR_02_B,Lancer Long Pike,10,1,45,3,1,6,4
94000000,ITEM_CH_SPEAR_02_C,Cavalry Long Pike,13,1,46,3,1,6,4
95000000,ITEM_CH_SPEAR_03_A,Vicious Snake Spear,16,1,48,3,1,6,4
96000000,ITEM_CH_SPEAR_03_B,Atrocious Snake Spear,18,1,48,3,1,6,4
97000000,ITEM_CH_SPEAR_03_C,Merciless Snake Spear,21,1,50,3,1,6,4
98000000,ITEM_CH_SPEAR_04_A,Iron Lance,24,1,51,3,1,6,4
99000000,ITEM_CH_SPEAR_04_B,Silver Lance,26,1,52,3,1,6,4
9A000000,ITEM_CH_SPEAR_04_C,Gold Lance,29,1,53,3,1,6,4
9B000000,ITEM_CH_SPEAR_05_A,Long Halbert,32,1,54,3,1,6,4
9C000000,ITEM_CH_SPEAR_05_B,Double Halbert,35,1,55,3,1,6,4
9D000000,ITEM_CH_SPEAR_05_C,Great Halbert,38,1,57,3,1,6,4
9E000000,ITEM_CH_SPEAR_06_A,Python's Tough Spear,42,1,58,3,1,6,4
9F000000,ITEM_CH_SPEAR_06_B,Python's Hard Spear,45,1,60,3,1,6,4
A0000000,ITEM_CH_SPEAR_06_C,Pyhon's Sturdy Spear,48,1,61,3,1,6,4
A1000000,ITEM_CH_SPEAR_07_A,Phoenix Horn Spear,52,1,62,3,1,6,4
A2000000,ITEM_CH_SPEAR_07_B,Prodigy Horn Spear,56,1,64,3,1,6,4
A3000000,ITEM_CH_SPEAR_07_C,Dragon Horn Spear,60,1,66,3,1,6,4
A4000000,ITEM_CH_SPEAR_08_A,Holy Iranggjingun Pike,64,1,67,3,1,6,4
A5000000,ITEM_CH_SPEAR_08_B,Probound Iranggjingun Pike,68,1,69,3,1,6,4
A6000000,ITEM_CH_SPEAR_08_C,Divine Iranggjingun Pike,72,1,71,3,1,6,4
A7000000,ITEM_CH_SPEAR_09_A,Evil Flame Spear,76,1,72,3,1,6,4
A8000000,ITEM_CH_SPEAR_09_B,Heavy Flame Spear,80,1,74,3,1,6,4
A9000000,ITEM_CH_SPEAR_09_C,True Flame Spear,85,1,76,3,1,6,4
AA000000,ITEM_CH_SPEAR_10_A,Devil Poison Horn Spear ,90,1,78,3,1,6,4
AB000000,ITEM_CH_SPEAR_10_B,Blood Poison Horn Spear,94,1,80,3,1,6,4
AC000000,ITEM_CH_SPEAR_10_C,Venom Poison Horn Spear,98,1,81,3,1,6,4
AD000000,ITEM_CH_SPEAR_11_A,Reaper Soul Spear,101,1,83,3,1,6,4
B0000000,ITEM_CH_SPEAR_12_A,White Dragon Halbert,111,1,87,3,1,6,4
B1000000,ITEM_CH_SPEAR_12_B,Bluish Dragon Halbert,114,1,88,3,1,6,4
B2000000,ITEM_CH_SPEAR_12_C,Golden Dragon Halbert,118,1,90,3,1,6,4
B3000000,ITEM_CH_TBLADE_01_A,Glaive,1,1,46,3,1,6,5
B4000000,ITEM_CH_TBLADE_01_B,Short Glaive,3,1,47,3,1,6,5
B5000000,ITEM_CH_TBLADE_01_C,Long Glaive,5,1,48,3,1,6,5
B6000000,ITEM_CH_TBLADE_02_A,Bronze Glaive,8,1,49,3,1,6,5
B7000000,ITEM_CH_TBLADE_02_B,Long Bronze Glaive,10,1,50,3,1,6,5
B8000000,ITEM_CH_TBLADE_02_C,Double Bronze Glaive,13,1,51,3,1,6,5
B9000000,ITEM_CH_TBLADE_03_A,Merchant's Hook Glaive,16,1,53,3,1,6,5
BA000000,ITEM_CH_TBLADE_03_B,Thief's Hook Glaive,18,1,54,3,1,6,5
BB000000,ITEM_CH_TBLADE_03_C,Hunter's Hook Glaive,21,1,55,3,1,6,5
BC000000,ITEM_CH_TBLADE_04_A,Three Ring Lightning Glaive,24,1,56,3,1,6,5
BD000000,ITEM_CH_TBLADE_04_B,Four Ring Lightning Glaive,26,1,57,3,1,6,5
BE000000,ITEM_CH_TBLADE_04_C,Five Ring Lightning Glaive,29,1,59,3,1,6,5
BF000000,ITEM_CH_TBLADE_05_A,Cutting Glaive of Hades,32,1,60,3,1,6,5
C0000000,ITEM_CH_TBLADE_05_B,Cutting Glaive of Heaven,35,1,61,3,1,6,5
C1000000,ITEM_CH_TBLADE_05_C,Cutting Glaive of Elysium,38,1,63,3,1,6,5
C2000000,ITEM_CH_TBLADE_06_A,Blue Moon Glaive,42,1,64,3,1,6,5
C3000000,ITEM_CH_TBLADE_06_B,Black Moon Glaive,45,1,66,3,1,6,5
C4000000,ITEM_CH_TBLADE_06_C,Silver Moon Glaive,48,1,67,3,1,6,5
C5000000,ITEM_CH_TBLADE_07_A,Muhwang's Storm Glaive,52,1,69,3,1,6,5
C6000000,ITEM_CH_TBLADE_07_B,Muhwang's Flame Glaive,56,1,71,3,1,6,5
C7000000,ITEM_CH_TBLADE_07_C,Muhwang's Frozne Glaive,60,1,73,3,1,6,5
C8000000,ITEM_CH_TBLADE_08_A,Polearm,64,1,74,3,1,6,5
C9000000,ITEM_CH_TBLADE_08_B,Long Polearm,68,1,76,3,1,6,5
CA000000,ITEM_CH_TBLADE_08_C,Double Polearm,72,1,78,3,1,6,5
CB000000,ITEM_CH_TBLADE_09_A,Apostasy Demon Polearm,76,1,80,3,1,6,5
CC000000,ITEM_CH_TBLADE_09_B,Ghost Demon Polearm,80,1,82,3,1,6,5
CD000000,ITEM_CH_TBLADE_09_C,Esoteric Demon Polearm,85,1,84,3,1,6,5
CE000000,ITEM_CH_TBLADE_10_A,Devil Green Dragon Crescent Blade ,90,1,86,3,1,6,5
CF000000,ITEM_CH_TBLADE_10_B,Blood Green Dragon Crescent Blade ,94,1,88,3,1,6,5
D0000000,ITEM_CH_TBLADE_10_C,Venom Green Dragon Crescent Blade ,98,1,90,3,1,6,5
D1000000,ITEM_CH_TBLADE_11_A,Horyeokbongin Polearm,101,1,91,3,1,6,5
D4000000,ITEM_CH_TBLADE_12_A,Bokhi Cryptic Polearm,111,1,96,3,1,6,5
D5000000,ITEM_CH_TBLADE_12_B,Yeomje Cryptic Polearm,114,1,97,3,1,6,5
D6000000,ITEM_CH_TBLADE_12_C,Chwiu Cryptic Polearm,118,1,99,3,1,6,5
D7000000,ITEM_CH_BOW_01_A,Copper Bow,1,1,47,3,1,6,6
D8000000,ITEM_CH_BOW_01_B,Long Copper Bow,3,1,48,3,1,6,6
D9000000,ITEM_CH_BOW_01_C,Double Copper Bow,5,1,49,3,1,6,6
DA000000,ITEM_CH_BOW_02_A,Infantry Bronz Bow,8,1,50,3,1,6,6
DB000000,ITEM_CH_BOW_02_B,Hunter Bronz Bow,10,1,51,3,1,6,6
DC000000,ITEM_CH_BOW_02_C,Archer Bronz Bow,13,1,53,3,1,6,6
DD000000,ITEM_CH_BOW_03_A,Strong Iron Bow,16,1,54,3,1,6,6
DE000000,ITEM_CH_BOW_03_B,Powerful Iron Bow,18,1,55,3,1,6,6
DF000000,ITEM_CH_BOW_03_C,Aamant Iron Bow,21,1,57,3,1,6,6
E0000000,ITEM_CH_BOW_04_A,Warrior's Horseman Bow,24,1,58,3,1,6,6
E1000000,ITEM_CH_BOW_04_B,Warlord;s Horseman Bow,26,1,59,3,1,6,6
E2000000,ITEM_CH_BOW_04_C,Patriarch's Horseman Bow,29,1,60,3,1,6,6
E3000000,ITEM_CH_BOW_05_A,Shaman's Occult Bow,32,1,62,3,1,6,6
E4000000,ITEM_CH_BOW_05_B,Conjurator's Occult Bow,35,1,63,3,1,6,6
E5000000,ITEM_CH_BOW_05_C,Mage's Occult Bow,38,1,64,3,1,6,6
E6000000,ITEM_CH_BOW_06_A,Eagle Horn Bow,42,1,66,3,1,6,6
E7000000,ITEM_CH_BOW_06_B,Buffalo Horn Bow,45,1,68,3,1,6,6
E8000000,ITEM_CH_BOW_06_C,Python Horn Bow,48,1,69,3,1,6,6
E9000000,ITEM_CH_BOW_07_A,Vicious Snake Bow,52,1,71,3,1,6,6
EA000000,ITEM_CH_BOW_07_B,Atrocious Snake Bow,56,1,73,3,1,6,6
EB000000,ITEM_CH_BOW_07_C,Merciless Snake Bow,60,1,75,3,1,6,6
EC000000,ITEM_CH_BOW_08_A,Shiny Moon Bow,64,1,77,3,1,6,6
ED000000,ITEM_CH_BOW_08_B,Blessed Moon Bow,68,1,78,3,1,6,6
EE000000,ITEM_CH_BOW_08_C,Glorious Moon Bow,72,1,80,3,1,6,6
EF000000,ITEM_CH_BOW_09_A,High Clouds Sinnok Bow,76,1,82,3,1,6,6
F0000000,ITEM_CH_BOW_09_B,Shining Clouds Sinnok Bow,80,1,84,3,1,6,6
F1000000,ITEM_CH_BOW_09_C,Ocean Clouds Sinnok Bow,85,1,86,3,1,6,6
F2000000,ITEM_CH_BOW_10_A,Giant Ye's Divine Bow ,90,1,89,3,1,6,6
F3000000,ITEM_CH_BOW_10_B,Colossus Ye's Divine Bow ,94,1,91,3,1,6,6
F4000000,ITEM_CH_BOW_10_C,Titan Ye's Divine Bow ,98,1,92,3,1,6,6
F5000000,ITEM_CH_BOW_11_A,Mirage Illusion Bow,101,1,94,3,1,6,6
F8000000,ITEM_CH_BOW_12_A,Rainstorm Poseidon Bow,111,1,98,3,1,6,6
F9000000,ITEM_CH_BOW_12_B,Windstorm Poseidon Bow,114,1,100,3,1,6,6
FA000000,ITEM_CH_BOW_12_C,Icestorm Poseidon Bow,118,1,102,3,1,6,6
FB000000,ITEM_CH_SHIELD_01_A,Copper Shield,1,1,46,3,1,4,1
FC000000,ITEM_CH_SHIELD_01_B,Copper Round Shield,3,1,47,3,1,4,1
FD000000,ITEM_CH_SHIELD_01_C,Copper Square Shield,5,1,48,3,1,4,1
FE000000,ITEM_CH_SHIELD_02_A,Bronze Shield,8,1,49,3,1,4,1
FF000000,ITEM_CH_SHIELD_02_B,Bronze Round Shield,10,1,50,3,1,4,1
00010000,ITEM_CH_SHIELD_02_C,Bronze Square Shield,13,1,51,3,1,4,1
01010000,ITEM_CH_SHIELD_03_A,Infantry Iron Shield,16,1,53,3,1,4,1
02010000,ITEM_CH_SHIELD_03_B,Lancer Iron Shield,18,1,54,3,1,4,1
03010000,ITEM_CH_SHIELD_03_C,Cavalry Iron Shield,21,1,55,3,1,4,1
04010000,ITEM_CH_SHIELD_04_A,Loyalty Steel Shield,24,1,56,3,1,4,1
05010000,ITEM_CH_SHIELD_04_B,Honor Steel Shield,26,1,57,3,1,4,1
06010000,ITEM_CH_SHIELD_04_C,Hero Steel Shield,29,1,59,3,1,4,1
07010000,ITEM_CH_SHIELD_05_A,Strerling Silver Shield,32,1,60,3,1,4,1
08010000,ITEM_CH_SHIELD_05_B,Noble Silver Shield,35,1,61,3,1,4,1
09010000,ITEM_CH_SHIELD_05_C,Sacred Silver Shield,38,1,63,3,1,4,1
0A010000,ITEM_CH_SHIELD_06_A,Robust Guard Shield,42,1,64,3,1,4,1
0B010000,ITEM_CH_SHIELD_06_B,Impregnable Guard Shield,45,1,66,3,1,4,1
0C010000,ITEM_CH_SHIELD_06_C,Godly Guard Shield,48,1,67,3,1,4,1
0D010000,ITEM_CH_SHIELD_07_A,Jecheonseong's Shield,52,1,69,3,1,4,1
0E010000,ITEM_CH_SHIELD_07_B,Jecheonilseong's Shield,56,1,71,3,1,4,1
0F010000,ITEM_CH_SHIELD_07_C,Jecheondaeseong's Shield,60,1,73,3,1,4,1
10010000,ITEM_CH_SHIELD_08_A,Taegeuk Shield,64,1,74,3,1,4,1
11010000,ITEM_CH_SHIELD_08_B,Gungon Taegeuk Shield,68,1,76,3,1,4,1
12010000,ITEM_CH_SHIELD_08_C,Gamri Taegeuk Shield,72,1,78,3,1,4,1
13010000,ITEM_CH_SHIELD_09_A,Flying Horse Scale Shield,76,1,80,3,1,4,1
14010000,ITEM_CH_SHIELD_09_B,Heavenly Horse Scale Shield,80,1,82,3,1,4,1
15010000,ITEM_CH_SHIELD_09_C,Divine Horse Scale Shield,85,1,84,3,1,4,1
16010000,ITEM_CH_SHIELD_10_A,Tiger Bone Shield ,90,1,86,3,1,4,1
17010000,ITEM_CH_SHIELD_10_B,Black Tiger Bone Shield ,94,1,88,3,1,4,1
18010000,ITEM_CH_SHIELD_10_C,White Tiger Bone Shield,98,1,90,3,1,4,1
19010000,ITEM_CH_SHIELD_11_A,Splinter Blade Shield,101,1,91,3,1,4,1
1C010000,ITEM_CH_SHIELD_12_A,White Dragon Shield,111,1,96,3,1,4,1
1D010000,ITEM_CH_SHIELD_12_B,Blue Dragon Shield,114,1,97,3,1,4,1
1E010000,ITEM_CH_SHIELD_12_C,Gold Dragon Shield,118,1,99,3,1,4,1
1F010000,ITEM_CH_M_HEAVY_01_HA_A,Copper Casque,1,1,48,3,1,3,1
20010000,ITEM_CH_M_HEAVY_01_HA_B,Wrought Copper Casque,6,1,50,3,1,3,1
21010000,ITEM_CH_M_HEAVY_01_HA_C,Refining Copper Casque,8,1,51,3,1,3,1
22010000,ITEM_CH_M_HEAVY_02_HA_A,Infantry Bronze Casque,11,1,53,3,1,3,1
23010000,ITEM_CH_M_HEAVY_02_HA_B,Lancer Bronze Casque,13,1,54,3,1,3,1
24010000,ITEM_CH_M_HEAVY_02_HA_C,Cavalry Bronze Casque,16,1,55,3,1,3,1
25010000,ITEM_CH_M_HEAVY_03_HA_A,Oh Scale Casque,19,1,57,3,1,3,1
26010000,ITEM_CH_M_HEAVY_03_HA_B,Chok Scale Casque,21,1,58,3,1,3,1
27010000,ITEM_CH_M_HEAVY_03_HA_C,Wi Scale Casque,24,1,59,3,1,3,1
28010000,ITEM_CH_M_HEAVY_04_HA_A,Holy Pure White Casque,27,1,60,3,1,3,1
29010000,ITEM_CH_M_HEAVY_04_HA_B,Glory Pure White Casque,29,1,61,3,1,3,1
2A010000,ITEM_CH_M_HEAVY_04_HA_C,Divine Pure White Casque,32,1,63,3,1,3,1
2B010000,ITEM_CH_M_HEAVY_05_HA_A,Iron Hard Scale Casque,35,1,64,3,1,3,1
2C010000,ITEM_CH_M_HEAVY_05_HA_B,Silver Hard Scale Casque,38,1,66,3,1,3,1
2D010000,ITEM_CH_M_HEAVY_05_HA_C,Gold Hard Scale Casque,41,1,67,3,1,3,1
2E010000,ITEM_CH_M_HEAVY_06_HA_A,Forest Python Casque,45,1,69,3,1,3,1
2F010000,ITEM_CH_M_HEAVY_06_HA_B,Woodland Python Casque,48,1,70,3,1,3,1
30010000,ITEM_CH_M_HEAVY_06_HA_C,Jungle Python Casque,51,1,72,3,1,3,1
31010000,ITEM_CH_M_HEAVY_07_HA_A,Crystal Jewel Casque,55,1,74,3,1,3,1
32010000,ITEM_CH_M_HEAVY_07_HA_B,Topaz Jewel Casque,59,1,76,3,1,3,1
33010000,ITEM_CH_M_HEAVY_07_HA_C,Spinel Jewel Casque,63,1,78,3,1,3,1
34010000,ITEM_CH_M_HEAVY_08_HA_A,Hades Pegasus Casque,67,1,79,3,1,3,1
35010000,ITEM_CH_M_HEAVY_08_HA_B,Heaven Pegasus Casque,71,1,81,3,1,3,1
36010000,ITEM_CH_M_HEAVY_08_HA_C,Elysium Pegasus Casque,75,1,83,3,1,3,1
37010000,ITEM_CH_M_HEAVY_09_HA_A,White Twin Horn Casque,79,1,85,3,1,3,1
38010000,ITEM_CH_M_HEAVY_09_HA_B,Blue Twin Horn Casque,83,1,87,3,1,3,1
39010000,ITEM_CH_M_HEAVY_09_HA_C,Black Twin Horn Casque,88,1,89,3,1,3,1
3A010000,ITEM_CH_M_HEAVY_10_HA_A,Black Beast Casque,91,1,91,3,1,3,1
3B010000,ITEM_CH_M_HEAVY_10_HA_B,Black Tiger Casque,95,1,93,3,1,3,1
3C010000,ITEM_CH_M_HEAVY_10_HA_C,Black Ghost Casque,99,1,95,3,1,3,1
3D010000,ITEM_CH_M_HEAVY_11_HA_A,Drako War God Casque,101,1,96,3,1,3,1
40010000,ITEM_CH_M_HEAVY_12_HA_A,Reo Casque,112,1,101,3,1,3,1
41010000,ITEM_CH_M_HEAVY_12_HA_B,Angel Wing Casque,115,1,102,3,1,3,1
42010000,ITEM_CH_M_HEAVY_12_HA_C,Valkyrie Wing Casque,119,1,104,3,1,3,1
43010000,ITEM_CH_M_HEAVY_01_CA_A,Copper Crown,1,1,48,3,1,3,1
44010000,ITEM_CH_M_HEAVY_01_CA_B,Wrought Copper Crown,6,1,50,3,1,3,1
45010000,ITEM_CH_M_HEAVY_01_CA_C,Refining Copper Crown,8,1,51,3,1,3,1
46010000,ITEM_CH_M_HEAVY_02_CA_A,Infantry Bronze Crown,11,1,53,3,1,3,1
47010000,ITEM_CH_M_HEAVY_02_CA_B,Lancer Bronze Crown,13,1,54,3,1,3,1
48010000,ITEM_CH_M_HEAVY_02_CA_C,Cavalry Bronze Crown,16,1,55,3,1,3,1
49010000,ITEM_CH_M_HEAVY_03_CA_A,Oh Scale Crown,19,1,57,3,1,3,1
4A010000,ITEM_CH_M_HEAVY_03_CA_B,Chok Scale Crown,21,1,58,3,1,3,1
4B010000,ITEM_CH_M_HEAVY_03_CA_C,Wi Scale Crown,24,1,59,3,1,3,1
4C010000,ITEM_CH_M_HEAVY_04_CA_A,Holy Pure White Crown,27,1,60,3,1,3,1
4D010000,ITEM_CH_M_HEAVY_04_CA_B,Glory Pure White Crown,29,1,61,3,1,3,1
4E010000,ITEM_CH_M_HEAVY_04_CA_C,Divine Pure White Crown,32,1,63,3,1,3,1
4F010000,ITEM_CH_M_HEAVY_05_CA_A,Iron Hard Scale Crown,35,1,64,3,1,3,1
